time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2023-06-08T18:34:41.632Z,33.088,84.7091,11.975,4.6,mb,48,77,5.425,0.71,us,us7000k76x,2023-06-08T21:22:42.040Z,"western Xizang",earthquake,6.46,4.658,0.067,66,reviewed,us,us
2023-06-08T14:32:02.133Z,13.403,145.5932,72.76,4.9,mb,161,75,1.837,0.75,us,us7000k754,2023-06-09T17:32:50.040Z,"Guam region",earthquake,9.69,6.275,0.034,272,reviewed,us,us
2023-06-08T12:44:03.861Z,-5.8941,152.565,10,4.5,mb,15,202,1.738,0.59,us,us7000k74j,2023-06-12T16:00:11.040Z,"New Britain region, Papua New Guinea",earthquake,10.97,1.999,0.157,12,reviewed,us,us
2023-06-08T12:33:53.336Z,38.6106,22.952,10,4.8,mb,113,35,1.533,0.49,us,us7000k74e,2023-06-09T01:57:36.269Z,"6 km SW of Atalánti, Greece",earthquake,2.92,1.646,0.046,148,reviewed,us,us
2023-06-08T12:00:23.020Z,-40.6435,177.2701,10,4.7,mb,36,211,0.78,0.85,us,us7000k745,2023-06-09T11:47:40.921Z,"93 km ENE of Castlepoint, New Zealand",earthquake,5.63,1.948,0.134,18,reviewed,us,us
2023-06-08T10:34:28.530Z,37.9078,141.5618,60.284,4.5,mb,53,121,2.904,0.75,us,us7000k73x,2023-06-12T14:20:33.040Z,"57 km ENE of Sōma, Japan",earthquake,8.97,8.546,0.093,34,reviewed,us,us
2023-06-08T09:19:28.575Z,-22.3537,170.269,17.673,5.7,mww,117,57,2.623,0.95,us,us7000k73m,2023-06-09T09:22:52.070Z,"262 km ESE of Tadine, New Caledonia",earthquake,7.24,3.651,0.063,24,reviewed,us,us
2023-06-08T07:49:11.107Z,-29.112,-178.5036,211.252,4.6,mb,20,73,0.532,1.22,us,us7000k72k,2023-06-08T08:07:25.040Z,"Kermadec Islands, New Zealand",earthquake,10.88,5.798,0.136,16,reviewed,us,us
2023-06-08T07:32:51.510Z,-5.6556,151.9581,10,5.2,mb,79,100,6.042,0.68,us,us7000k72g,2023-06-08T07:49:41.040Z,"149 km SSW of Kokopo, Papua New Guinea",earthquake,9.12,1.884,0.072,63,reviewed,us,us
2023-06-08T06:23:05.759Z,-53.8233,140.3199,10,4.8,mb,20,130,16.642,0.58,us,us7000k72a,2023-06-08T06:43:16.040Z,"west of Macquarie Island",earthquake,16.79,1.919,0.131,18,reviewed,us,us
2023-06-08T05:09:13.396Z,-7.4269,122.0318,546.899,4.5,mb,32,55,1.218,0.43,us,us7000k720,2023-06-08T05:23:38.040Z,"Flores Sea",earthquake,12.02,10.626,0.14,15,reviewed,us,us
2023-06-08T04:02:32.706Z,-55.4319,-1.8101,10,5.2,mww,51,95,16.31,0.74,us,us7000k71w,2023-06-09T01:41:27.040Z,"Bouvet Island region",earthquake,12.31,1.844,0.098,10,reviewed,us,us
2023-06-08T01:42:04.395Z,-21.317,-67.1793,203.235,4.5,mb,31,57,1.873,0.77,us,us7000k71i,2023-06-09T00:44:12.040Z,"Potosi, Bolivia",earthquake,7.68,10.133,0.191,8,reviewed,us,us
2023-06-07T23:08:19.265Z,-16.398,-74.3025,21.815,4.6,mb,37,150,4.26,1.1,us,us7000k70z,2023-06-07T23:21:46.040Z,"near the coast of southern Peru",earthquake,10.71,6.862,0.091,36,reviewed,us,us
2023-06-07T22:52:05.594Z,-16.3918,-74.1949,35,4.9,mb,77,133,4.172,1,us,us7000k70x,2023-06-07T23:10:14.040Z,"64 km WSW of Atico, Peru",earthquake,8.29,1.907,0.053,111,reviewed,us,us
2023-06-07T22:49:43.053Z,-27.8732,-67.1262,190.632,4.5,mb,31,111,2.06,0.93,us,us7000k70w,2023-06-07T23:00:16.040Z,"17 km S of Londres, Argentina",earthquake,9.61,13.112,0.171,10,reviewed,us,us
2023-06-07T20:02:34.486Z,-22.963,170.2496,10,4.9,mb,44,105,2.61,1.36,us,us7000k6zn,2023-06-07T20:35:12.040Z,"southeast of the Loyalty Islands",earthquake,7.79,1.885,0.078,52,reviewed,us,us
2023-06-07T19:46:31.322Z,-28.6092,-175.6035,10,4.6,mb,20,152,2.132,0.46,us,us7000k6zg,2023-06-08T12:54:29.040Z,"Kermadec Islands region",earthquake,8.79,1.98,0.157,17,reviewed,us,us
2023-06-07T17:39:24.198Z,6.0558,-77.8421,10,5.1,mww,107,39,3.706,1.11,us,us7000k6yf,2023-06-09T17:31:17.040Z,"near the west coast of Colombia",earthquake,6.7,1.798,0.062,25,reviewed,us,us
2023-06-07T17:04:55.860Z,-9.2198,110.6926,30.9,5.6,mww,80,131,2.171,2.02,us,us7000k6xu,2023-06-09T21:54:37.169Z,"139 km S of Wonosari, Indonesia",earthquake,8.12,5.443,0.086,13,reviewed,us,us
2023-06-07T15:51:24.406Z,-56.0916,-27.3026,35,4.9,mb,30,124,5.565,0.49,us,us7000k6xd,2023-06-07T16:25:56.040Z,"South Sandwich Islands region",earthquake,12.53,1.921,0.125,21,reviewed,us,us
2023-06-07T12:26:38.692Z,42.0505,24.8375,10,4.6,mb,108,26,1.045,0.74,us,us7000k6vb,2023-06-10T12:21:54.971Z,"Bulgaria",earthquake,5.2,1.875,0.072,58,reviewed,us,us
2023-06-07T09:53:50.668Z,16.8731,95.5532,10,4.8,mb,54,105,2.943,0.57,us,us7000k6tu,2023-06-08T01:41:19.677Z,"near the south coast of Myanmar",earthquake,4,1.875,0.076,53,reviewed,us,us
2023-06-07T02:32:51.874Z,-22.4742,-178.9004,605.537,4.5,mb,26,102,3.672,0.55,us,us7000k6s7,2023-06-07T03:42:16.040Z,"south of the Fiji Islands",earthquake,15.62,14.413,0.118,21,reviewed,us,us
2023-06-07T02:17:22.112Z,-20.917,-178.5956,574.664,4.5,mb,28,84,3.178,0.39,us,us7000k6s4,2023-06-08T21:58:18.040Z,"Fiji region",earthquake,12.98,8.702,0.145,14,reviewed,us,us
2023-06-07T00:56:36.802Z,57.017,-155.9276,2.7,4.5,mwr,,,,0.6,ak,ak02379b8wum,2023-06-13T02:46:14.090Z,"Alaska Peninsula",earthquake,,0.4,,,reviewed,ak,ak
2023-06-07T00:00:25.610Z,-60.4502,-26.996,35,5.1,mb,28,83,14.765,0.54,us,us7000k6rl,2023-06-07T00:13:14.040Z,"South Sandwich Islands region",earthquake,13.94,1.953,0.088,42,reviewed,us,us
2023-06-06T23:38:13.572Z,-23.116,170.3839,33.065,5.2,mb,32,85,2.755,0.82,us,us7000k6rg,2023-06-06T23:52:57.040Z,"southeast of the Loyalty Islands",earthquake,7.74,6.289,0.108,28,reviewed,us,us
2023-06-06T21:48:03.261Z,-23.0477,170.1999,10,5.2,mb,52,76,2.577,0.96,us,us7000k6qq,2023-06-06T22:01:56.040Z,"280 km E of Vao, New Caledonia",earthquake,6.64,1.856,0.092,39,reviewed,us,us
2023-06-06T21:43:48.662Z,-23.1012,170.1804,10,4.9,mb,29,107,2.568,0.86,us,usd000jtzp,2023-06-06T23:02:11.040Z,"southeast of the Loyalty Islands",earthquake,10.89,1.922,0.112,25,reviewed,us,us
2023-06-06T17:53:21.330Z,-15.8829,-72.3784,10,4.5,mb,25,133,3.148,0.7,us,us7000k6p0,2023-06-06T18:22:07.040Z,"17 km SSE of Uñon, Peru",earthquake,9.42,1.945,0.127,20,reviewed,us,us
2023-06-06T17:41:52.772Z,-21.3094,-69.9248,51.187,4.5,mb,20,161,0.029,1.11,us,us7000k6nz,2023-06-07T01:54:05.420Z,"Tarapaca-Antofagasta border region, Chile",earthquake,3.62,6.199,0.204,7,reviewed,us,us
2023-06-06T17:26:51.893Z,46.0827,21.3963,5.663,4.7,mwr,86,25,0.494,0.64,us,us7000k6nx,2023-06-10T14:07:58.420Z,"4 km SSE of Fântânele, Romania",earthquake,4.18,4.089,0.078,16,reviewed,us,us
2023-06-06T17:08:03.890Z,36.314,141.8185,31.834,4.5,mb,64,123,2.92,0.59,us,us7000k6nv,2023-06-06T18:39:44.040Z,"108 km ESE of Takahagi, Japan",earthquake,8.11,5.582,0.078,54,reviewed,us,us
2023-06-06T16:10:35.131Z,36.242,142.0913,10,4.5,mb,28,135,3.147,0.64,us,us7000k6nh,2023-06-13T20:14:16.040Z,"126 km ENE of Hasaki, Japan",earthquake,4.83,1.922,0.181,9,reviewed,us,us
2023-06-06T16:06:51.318Z,53.5361,-163.1864,19.023,4.7,mb,106,64,1.231,0.74,us,us7000k6n9,2023-06-14T03:29:35.434Z,"147 km S of False Pass, Alaska",earthquake,5.39,3.891,0.041,180,reviewed,us,us
